Order ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,profit_margin
CG-2011-8610,TEC-APP-10000308,3817.26,6,0.0,1068.66,678.15,27.995473192813698
CA-2011-160766,TEC-MA-10003979,2799.96,4,0.0,1371.9804,675.15,49.0
US-2014-168116,TEC-MA-10004125,7999.98,4,0.5,-3839.9904,674.82,-48.00000000000001
ES-2014-2637201,TEC-CO-10000013,4141.02,13,0.0,1697.67,668.96,40.9964211715954
IN-2011-61302,TEC-PH-10004664,2875.095,5,0.1,511.095,665.27,17.77662998961774
ID-2013-63976,TEC-PH-10000499,3200.5962,6,0.17,-77.2038,660.87,-2.4121693327012013
IN-2014-37320,TEC-PH-10003856,4518.78,7,0.0,632.52,658.69,13.99758341853332
IN-2014-76016,FUR-BO-10004852,5667.87,13,0.0,2097.03,658.35,36.99855501272965
ES-2012-5877219,TEC-PH-10004583,5785.02,9,0.0,404.73,656.73,6.996172874078223
IT-2011-3183678,OFF-AP-10000486,3018.624,7,0.2,377.244,655.91,12.497217275155835
CA-2011-116904,OFF-BI-10001120,9449.95,5,0.0,4630.4755,655.61,48.99999999999999
IT-2013-3085011,FUR-CH-10003365,2092.5,5,0.1,720.75,652.98,34.44444444444444
IN-2014-50473,FUR-CH-10000602,2761.2,6,0.0,110.34,644.75,3.9960886571056067
IN-2014-35983,TEC-MA-10002680,2174.13,7,0.0,500.01,637.86,22.99816478315464
MX-2014-126984,FUR-CH-10000891,3473.14,11,0.0,868.12,634.53,24.995249255716733
US-2012-163825,OFF-BI-10003527,3050.376,3,0.2,1143.891,632.05,37.5
IR-2014-8540,TEC-CAN-10003392,2108.64,8,0.0,527.04,630.97,24.994309128158434
US-2014-135013,TEC-CO-10001449,2399.96,5,0.2,839.986,630.05,35.0
IN-2011-10286,FUR-BO-10001372,2197.5,5,0.0,153.75,627.27,6.996587030716723
MZ-2013-3690,TEC-MOT-10002272,2582.16,4,0.0,593.88,627.17,22.99934938191282
IN-2012-66342,TEC-CO-10004997,1526.52,4,0.0,732.72,625.77,47.999371118622754
CA-2012-111829,TEC-CO-10001766,3149.93,7,0.0,1480.4671,617.92,47.0
IN-2012-48240,FUR-TA-10000226,1745.34,2,0.0,226.86,616.27,12.998040496407578
IN-2014-61792,OFF-AP-10002244,4191.507,9,0.1,1164.267,614.34,27.776811538189012
CA-2014-129021,TEC-PH-10001459,4367.896,13,0.2,327.5922,609.44,7.5
IN-2014-75470,FUR-BO-10001073,3063.27,7,0.0,581.91,609.24,18.996366627819288
CA-2012-114811,TEC-MA-10000045,4643.8,4,0.0,2229.024,607.34,48.0
ES-2014-4673578,TEC-PH-10002035,4473.0,7,0.0,313.11,604.4,7.000000000000001
IT-2013-3376681,TEC-PH-10002565,1502.01,9,0.0,225.18,600.21,14.991910839475104
IN-2014-66615,FUR-CH-10000027,5049.0,11,0.0,656.37,595.5,13.0
CA-2013-143805,OFF-AP-10002945,2104.55,7,0.0,694.5015,594.02,32.99999999999999
IT-2014-4540740,FUR-BO-10004999,2188.05,5,0.0,1050.15,593.91,47.994789881401246
IN-2014-11231,FUR-TA-10001205,1920.36,4,0.0,652.92,592.77,33.999875023433106
MX-2014-154907,TEC-PH-10004196,1704.0,4,0.0,119.28,592.73,7.000000000000001
UP-2011-8610,FUR-CHR-10001018,1858.68,4,0.0,130.08,590.56,6.9985150752146685
IN-2013-40050,FUR-CH-10003232,3298.26,7,0.0,1055.25,589.36,31.99414236597479
MX-2011-110275,OFF-AP-10001630,2443.48,13,0.0,121.94,589.29,4.990423494360502
CG-2013-6110,FUR-HAR-10002873,3808.8,8,0.0,1523.52,588.13,40.0
IN-2014-30110,FUR-TA-10000687,3427.1496,7,0.47,-452.8104,586.57,-13.212449202684354
ES-2012-2058076,TEC-PH-10004505,3441.69,6,0.1,38.07,585.25,1.1061426217933632
IN-2014-51950,TEC-PH-10002683,2863.35,5,0.1,858.9,581.88,29.996332966629996
CA-2012-145352,OFF-BI-10003527,6354.95,5,0.0,3177.475,581.12,50.0
ES-2013-4670866,TEC-CO-10002269,1487.4,10,0.0,728.7,580.98,48.99152884227511
IN-2011-62506,TEC-CO-10002526,3200.04,9,0.0,1183.95,576.71,36.997975025312186
IN-2011-46413,FUR-CH-10000602,2301.0,5,0.0,91.95,573.27,3.9960886571056067
ES-2014-3785216,FUR-CH-10002891,5729.346,14,0.1,63.546,572.95,1.109131827611738
MO-2014-2000,TEC-CAN-10001437,5301.24,14,0.0,2597.28,568.45,48.99382031373792
CA-2014-138289,OFF-BI-10004995,5443.96,4,0.0,2504.2216,567.95,46.0
CA-2014-118892,FUR-CH-10002024,4416.174,9,0.3,-630.882,566.65,-14.285714285714285
ES-2013-1434123,TEC-PH-10004327,3219.9,5,0.0,965.85,564.25,29.996273176185596
ID-2012-78207,OFF-AP-10001621,2487.8088,6,0.17,-269.7912,562.14,-10.844531139209735
MO-2013-8630,OFF-HOO-10001881,2266.44,4,0.0,113.28,556.45,4.99814687351088
IN-2012-64774,TEC-CO-10001954,3068.361,9,0.1,1124.901,555.77,36.66129898013956
IN-2013-48765,FUR-BO-10003282,3728.43,9,0.0,1192.86,553.31,31.993627344485482
IN-2013-69730,TEC-CO-10003102,1581.48,6,0.0,0.0,550.74,0.0
IN-2012-48240,TEC-PH-10004664,1916.73,3,0.0,498.33,548.4,25.99896699065596
US-2013-102239,FUR-TA-10003392,1685.88,6,0.0,320.3172,548.08,19.0
ES-2013-3467296,OFF-AP-10002552,2432.16,5,0.1,513.36,546.9,21.10716400236827
CA-2014-6550,TEC-MOT-10000554,3863.88,6,0.0,1159.02,546.56,29.996273176185596
ID-2013-25742,FUR-CH-10001415,2465.82,7,0.25,197.19,546.49,7.996934082779765
IN-2012-86698,FUR-TA-10003627,1847.52,2,0.0,738.96,545.89,39.997401922577296
ES-2013-2903666,FUR-BO-10001133,2899.89,7,0.0,927.78,541.59,31.993627344485482
IN-2012-30446,FUR-CH-10000027,2891.7,7,0.1,96.39,541.57,3.3333333333333335
IT-2012-1779015,TEC-MA-10003515,2016.846,9,0.15,-0.054,540.77,-0.0026774478567029906
ES-2013-3903130,OFF-AP-10002904,3155.544,7,0.1,34.944,539.94,1.1073843369003888
CG-2013-3470,TEC-MOT-10003348,3856.14,6,0.0,1465.2,533.99,37.9965457685665
IN-2014-13639,TEC-PH-10001990,3524.472,6,0.1,861.372,531.28,24.439745868317296
ES-2012-2510515,TEC-PH-10002898,2167.296,4,0.15,790.416,531.09,36.47014528703048
MX-2012-153157,TEC-PH-10004196,2556.0,6,0.0,178.92,530.49,6.999999999999999
ES-2011-2585328,TEC-CO-10001633,1469.25,5,0.0,308.4,527.87,20.990301174068403
ES-2011-4500805,TEC-PH-10002623,4448.832,8,0.15,1517.712,527.85,34.11484182814725
CA-2014-107174,FUR-TA-10004575,2036.86,7,0.0,366.6348,524.76,18.0
MX-2013-113824,FUR-BO-10001498,2472.66,9,0.0,914.76,523.47,36.99497706922909
IN-2013-45076,OFF-AP-10003598,3739.176,8,0.1,747.816,522.79,19.999486517885227
IT-2013-5208514,FUR-CH-10001582,2570.865,11,0.5,-2211.165,520.89,-86.0086002182145
US-2013-107440,TEC-MA-10001047,9099.93,7,0.0,2365.9818,516.91,26.0
ES-2012-2314672,TEC-PH-10000505,2875.77,9,0.5,-1783.08,516.63,-62.00356774011829
ES-2012-4765389,FUR-BO-10002003,1741.8,4,0.0,261.24,515.24,14.998277643816744
IN-2013-15368,TEC-CO-10001775,1601.64,5,0.1,587.19,511.47,36.66179665842512
IN-2011-18385,OFF-AP-10000647,3670.8,7,0.0,367.08,510.72,10.0
CA-2012-149846,TEC-MA-10004002,2973.32,7,0.2,334.4985,510.18,11.249999999999998
ES-2013-2757712,TEC-CO-10001926,1900.95,5,0.0,589.2,506.89,30.99502880138878
CA-2011-106726,OFF-ST-10001496,1261.33,7,0.0,327.9458,506.49,26.0
IT-2011-1978668,FUR-CH-10002203,4544.1,11,0.1,1868.13,506.27,41.11111111111111
IN-2013-63773,FUR-BO-10001934,1455.12,4,0.0,116.4,504.56,7.999340260597066
IN-2013-10965,TEC-CO-10000562,1943.19,6,0.1,258.93,499.62,13.324996526330416
CA-2011-145541,TEC-MA-10001127,6999.96,4,0.0,2239.9872,499.55,32.0
CA-2013-117121,OFF-BI-10000545,9892.74,13,0.0,4946.37,498.7,50.0
ID-2013-79432,TEC-CO-10002035,1695.87,5,0.1,-37.83,498.62,-2.230713439119744
IT-2014-4499061,TEC-CO-10004099,1505.979,6,0.15,-265.761,498.52,-17.647058823529413
IN-2014-34226,TEC-PH-10003002,1954.17,3,0.0,312.66,498.38,15.999631557131671
CA-2011-136567,FUR-TA-10001932,2244.48,7,0.0,493.7856,498.14,22.0
CA-2013-143714,TEC-CO-10004722,8399.976,4,0.4,1119.9968,498.08,13.33333333333333
CA-2011-151330,FUR-CH-10000749,1628.82,9,0.0,260.6112,496.46,16.0
MX-2014-158386,TEC-CO-10004398,1213.18876,7,0.002,508.00876,493.41,41.873843275633384
IN-2013-30663,TEC-CO-10004535,1590.6,5,0.0,572.55,493.2,35.995850622406635
IN-2013-77444,TEC-AC-10000420,2330.64,9,0.0,1025.46,492.79,43.99907321594069
IN-2014-39077,FUR-BO-10001212,3278.5848,8,0.07,140.8248,492.28,4.295292285866756
ID-2012-60980,TEC-PH-10001670,3741.5238,7,0.17,946.6338,491.91,25.30075580435971
CA-2013-128594,FUR-CH-10001215,1603.136,4,0.2,100.196,489.6,6.25
IN-2012-57025,FUR-BO-10004679,3637.602,10,0.07,156.402,487.86,4.299590774361791
MX-2013-157868,OFF-AP-10001776,2455.88,7,0.0,785.82,487.48,31.997491734123816
ID-2012-66111,TEC-MA-10003704,1024.68,8,0.5,-286.92,487.32,-28.00093687785455
CA-2011-120474,FUR-CH-10001854,2807.84,8,0.0,673.8816,487.15,24.0
CA-2013-100300,TEC-MA-10000984,4476.8,4,0.2,503.64,485.47,11.249999999999998
MX-2012-164791,TEC-AC-10000376,2297.96,14,0.0,988.12,483.26,42.99987815279639
IT-2013-1350483,TEC-CO-10003800,2671.41,7,0.0,534.24,483.04,19.998427796556875
SO-2014-4990,TEC-SAM-10004230,3834.0,6,0.0,268.38,481.04,6.999999999999999
CA-2014-149559,FUR-CH-10002320,2054.272,8,0.2,256.784,480.56,12.5
IN-2012-30943,OFF-AP-10002312,3501.7368,8,0.17,210.8568,479.96,6.021491963645011
IN-2014-13324,TEC-PH-10000169,1725.462,3,0.1,747.612,479.94,43.32822165889483
IN-2012-46889,TEC-CO-10000865,1583.7,5,0.0,174.15,479.67,10.996400833491192
CA-2012-114069,FUR-CH-10000595,1931.04,9,0.1,321.84,477.15,16.666666666666664
ID-2013-35640,FUR-BO-10000288,2760.345,7,0.1,-214.725,475.34,-7.778918939480392
IN-2011-30292,TEC-AC-10000866,3078.72,12,0.0,523.08,474.44,16.99017773620206
IT-2011-3675195,OFF-AP-10001623,1983.135,7,0.5,-1784.895,473.27,-90.00370625297825
ES-2014-2034971,FUR-BO-10003541,1112.778,3,0.1,296.658,472.0,26.659225829410722
ES-2011-1426891,TEC-CO-10004365,3616.5,10,0.0,36.0,471.92,0.9954375777685608
CA-2014-159366,TEC-MA-10000822,3059.982,2,0.1,679.996,471.22,22.22222222222222
IN-2013-14773,TEC-PH-10000499,2892.105,5,0.1,160.605,470.29,5.5532216153977805
ES-2012-4934238,TEC-PH-10000800,3263.4,5,0.0,848.4,469.29,25.997425997425992
CA-2013-108987,FUR-BO-10004834,2396.2656,4,0.32,-317.1528,469.16,-13.23529411764706
MX-2014-111941,FUR-TA-10001642,3117.088,13,0.2,38.948,466.7,1.2494995328973708
US-2013-143819,TEC-MA-10003979,4899.93,7,0.0,2400.9657,466.33,49.0
MX-2014-152961,OFF-AP-10001041,1888.7,5,0.0,887.6,465.92,46.995287764070525
IN-2013-17041,OFF-AP-10002090,3000.78,6,0.0,1080.18,465.63,35.99664087337292
ES-2013-4679331,OFF-AP-10002330,3801.63,7,0.0,1444.59,465.02,37.999226647516984
SA-2014-1270,TEC-CIS-10002344,5211.12,8,0.0,1146.24,463.98,21.996039239165476
IN-2011-10286,FUR-TA-10002153,1356.03,3,0.0,311.85,458.97,22.99727882126502
IN-2014-12897,OFF-AP-10004964,3569.643,7,0.1,674.163,458.54,18.886006247683593
CA-2013-134887,TEC-AC-10003832,1287.45,5,0.0,244.6155,457.14,19.0
ID-2014-10076,FUR-BO-10004679,2910.0816,8,0.07,125.1216,456.32,4.299590774361791
ID-2013-70122,FUR-CH-10002061,3126.4002,9,0.27,-128.7198,455.71,-4.11718883590143
ES-2011-2257437,TEC-PH-10002759,5276.988,9,0.1,1758.888,454.81,33.33128671128303
ID-2014-63920,TEC-PH-10001699,2645.376,5,0.17,-0.024,452.6,-0.0009072434315575555
ID-2013-29564,FUR-BO-10001934,1637.01,5,0.1,-36.39,452.28,-2.2229552660032623
CA-2013-108196,TEC-MA-10000418,4499.985,5,0.7,-6599.978,451.63,-146.66666666666669
ID-2012-36403,TEC-PH-10001699,2645.376,5,0.17,-0.024,451.03,-0.0009072434315575555
CA-2014-127180,TEC-PH-10001494,2399.6,8,0.0,647.892,449.45,27.0
IN-2011-19351,FUR-TA-10001889,3238.305,5,0.3,-740.295,449.18,-22.860570576273698
ES-2014-5842530,FUR-BO-10000490,2291.814,7,0.1,127.134,448.91,5.547308813018858
MX-2011-137897,TEC-PH-10000018,2124.5,5,0.0,488.6,447.66,22.998352553542013
BO-2014-8960,FUR-HON-10003533,2757.78,6,0.0,744.48,446.33,26.995626917303046
ES-2013-2220066,TEC-AC-10001949,1549.98,6,0.0,139.32,443.92,8.988503077459063
CA-2011-127299,TEC-MA-10001127,2624.985,3,0.5,-944.9946,443.69,-36.0
UP-2014-4500,OFF-HOO-10004910,3146.4,6,0.0,629.28,443.55,20.0
ES-2014-2440513,TEC-MA-10001335,2456.619,11,0.15,664.719,442.49,27.058286205553244
IT-2011-5629016,FUR-TA-10000347,2228.6355,7,0.35,-754.4145,440.25,-33.85095947722272
CA-2014-133263,TEC-CO-10001449,2999.95,5,0.0,1439.976,439.69,48.00000000000001
IN-2014-65488,OFF-AP-10002090,4001.04,8,0.0,1440.24,439.65,35.996640873372925
ES-2014-5530354,TEC-PH-10000493,4876.875,9,0.15,745.875,439.41,15.294117647058824
IN-2012-23782,FUR-TA-10003596,1788.822,6,0.3,204.282,439.03,11.419917688847745
IN-2014-37320,OFF-AP-10002244,3622.29,7,0.0,1267.77,438.89,34.99913038437011
ID-2013-31720,FUR-TA-10003179,1242.585,5,0.47,-140.715,437.85,-11.324376199616122
ES-2011-1712442,TEC-PH-10001396,4453.05,7,0.0,1424.85,433.41,31.997170478660692
IN-2014-78900,FUR-TA-10003078,2673.36,8,0.0,1069.2,432.57,39.99461352006464
IN-2013-37803,FUR-CH-10003581,2046.195,5,0.1,591.045,432.15,28.88507693548269
ES-2013-3939561,FUR-TA-10000184,5451.3,6,0.0,2071.44,432.13,37.99900941059931
CA-2013-138478,OFF-BI-10001120,4535.976,3,0.2,1644.2913,431.68,36.25000000000001
IN-2014-56808,OFF-AP-10001956,1722.2832,4,0.17,539.4432,430.04,31.321399407484208
US-2013-116729,TEC-PH-10002200,2575.944,7,0.2,257.5944,429.66,10.0
ES-2014-1972860,OFF-AP-10003382,1007.424,2,0.1,134.304,428.83,13.331427482370877
CA-2011-119375,OFF-ST-10002011,2934.33,7,0.0,792.2691,428.8,27.0
IN-2011-64326,OFF-AP-10003917,4624.29,9,0.1,1644.03,427.46,35.5520523150581
ES-2011-3259196,OFF-ST-10002900,1066.446,6,0.1,-11.934,427.24,-1.119044002227961
IN-2013-48184,TEC-CO-10003819,957.6,4,0.0,0.0,427.1,0.0
IN-2014-77017,OFF-AP-10000675,4864.32,10,0.1,162.12,426.09,3.332839944740478
CA-2014-150091,FUR-BO-10003404,2154.9,5,0.0,129.294,426.05,6.000000000000001
ID-2014-31363,OFF-AP-10001824,1433.8395,3,0.15,-84.3705,424.81,-5.884235997125201
SF-2011-6380,OFF-SME-10000746,2784.6,14,0.0,779.52,422.25,27.99396681749623
ES-2013-1692384,FUR-BO-10004999,3063.27,7,0.0,1470.21,419.38,47.99478988140125
CA-2014-165323,TEC-MA-10003673,3404.5,5,0.0,1668.205,419.06,49.0
CA-2013-168354,OFF-ST-10001490,1606.23,9,0.0,481.869,418.26,30.0
US-2011-158554,TEC-PH-10004196,2044.8,6,0.2,-332.28,417.99,-16.249999999999996
CA-2011-141796,TEC-PH-10001578,1214.85,3,0.0,352.3065,417.47,29.000000000000004
IN-2012-12162,TEC-CO-10000208,1521.0,4,0.0,0.0,416.74,0.0
ES-2012-2510515,OFF-AP-10002330,2443.905,5,0.1,760.305,416.33,31.110251830574427
CA-2012-113404,FUR-CH-10003312,1348.704,6,0.2,-219.1644,415.69,-16.25
IR-2013-8520,TEC-EPS-10000053,1141.8,10,0.0,570.9,415.01,50.0
IN-2014-68463,OFF-ST-10004060,1865.97,9,0.0,802.17,413.95,42.989437129214295
ID-2011-64599,TEC-PH-10000303,6998.64,11,0.0,2939.31,413.8,41.998302527348166
ES-2013-4632541,FUR-BO-10002708,1091.25,3,0.0,119.97,411.64,10.99381443298969
IN-2014-23761,FUR-BO-10000210,1094.22,3,0.0,328.23,411.06,29.996709985194936
IN-2013-16964,FUR-BO-10001192,1320.624,4,0.1,484.224,410.88,36.66630320212263
IN-2011-76989,TEC-PH-10004664,2555.64,4,0.0,664.44,410.22,25.998966990655966
RS-2014-4620,FUR-SAU-10002255,3498.72,8,0.0,594.72,410.05,16.99821649060228
CA-2013-147417,TEC-CO-10001449,1439.976,4,0.4,191.9968,408.79,13.333333333333334
IN-2014-61393,TEC-CO-10001954,2272.86,6,0.0,977.22,406.53,42.9951690821256
IN-2013-13891,TEC-PH-10003002,5211.12,8,0.0,833.76,404.97,15.999631557131671
IN-2014-32770,TEC-PH-10003856,2582.16,4,0.0,361.44,404.08,13.99758341853332
IN-2014-14780,TEC-PH-10004664,3194.55,5,0.0,830.55,403.97,25.99896699065596
IN-2013-71585,FUR-CH-10000974,1704.996,4,0.1,378.876,403.46,22.22151840825433
IN-2014-20485,OFF-AP-10003866,1538.721,6,0.15,325.701,403.26,21.16699518626184
IN-2013-48184,FUR-CH-10003616,1381.32,3,0.0,593.91,403.15,42.995830075579875
IT-2011-4771701,FUR-BO-10004999,1181.547,3,0.1,498.807,401.25,42.21643320155694
IT-2011-2876489,FUR-CH-10000479,1696.248,4,0.1,734.928,401.13,43.32668336233853
CA-2014-133865,TEC-CO-10001046,3359.952,6,0.2,1049.985,400.6,31.249999999999993
CA-2014-158379,OFF-SU-10002881,4663.736,7,0.2,-1049.3406,400.04,-22.5
SF-2014-2330,OFF-HOO-10000318,1237.56,4,0.0,606.36,400.03,48.99641229516145
EG-2012-4640,TEC-NOK-10001283,1274.7,2,0.0,140.16,399.96,10.995528359614026
MX-2011-138002,OFF-AP-10000407,3172.14,9,0.0,856.44,399.85,26.99880837541849
US-2014-102183,OFF-BI-10001359,4305.552,6,0.2,1453.1238,398.64,33.75
ES-2012-5113958,OFF-AP-10004512,3979.29,7,0.0,1989.54,398.5,49.9973613383292
CA-2014-120376,FUR-CH-10002335,1586.69,7,0.0,412.5394,397.52,26.0
CA-2014-168109,TEC-MA-10001148,2395.2,6,0.2,209.58,396.92,8.75
CA-2014-111556,TEC-PH-10001459,1259.97,3,0.0,327.5922,394.57,26.0
AJ-2013-2640,FUR-BAR-10004434,2058.0,4,0.0,946.68,393.62,46.0
IN-2011-67651,FUR-BO-10002444,2539.8765,7,0.07,709.9365,393.58,27.951614970255445
ES-2014-4957212,FUR-BO-10004709,2898.21,7,0.0,1420.02,393.46,48.99644953264256
IT-2011-3528798,TEC-MA-10004772,1320.0075,5,0.15,357.1575,390.2,27.057232629360062
LH-2014-5390,FUR-BAR-10003532,2171.16,8,0.7,-2750.28,390.09,-126.67329906593712
IN-2014-32588,TEC-CO-10002911,4448.223,13,0.1,444.483,386.38,9.992372234935164
CA-2012-137113,FUR-TA-10001705,1913.4,9,0.0,401.814,386.21,21.0
US-2011-161760,TEC-PH-10000169,2300.616,9,0.4,38.196,386.0,1.6602509936469187
EG-2013-4530,FUR-SAU-10004653,2615.94,6,0.0,1072.44,384.41,40.99635312736531
IN-2011-51964,TEC-CO-10002526,1066.68,3,0.0,394.65,383.68,36.99797502531218
CA-2013-122903,FUR-CH-10002024,3504.9,5,0.0,700.98,383.35,20.0
LT-2011-270,TEC-NOK-10004339,2544.6,4,0.0,814.2,383.01,31.997170478660696
IN-2011-86278,FUR-TA-10000022,3694.68,4,0.0,886.68,382.77,23.998830751242327
ID-2013-17055,FUR-TA-10002153,2214.849,7,0.3,-221.571,382.1,-10.003887398192832
MX-2013-151764,FUR-CH-10000843,1236.48,4,0.0,111.28,381.22,8.999741200828156
MX-2014-124744,OFF-AP-10002681,1805.9,5,0.0,126.4,381.14,6.9992801373276485
US-2011-106992,TEC-MA-10000822,3059.982,3,0.4,-509.997,380.77,-16.666666666666668
CA-2014-168109,TEC-AC-10002049,1687.8,4,0.0,742.632,379.56,44.0
CA-2011-117639,OFF-BI-10003925,2715.93,7,0.0,1276.4871,378.83,47.0
MX-2014-140305,OFF-AP-10004627,1810.3,5,0.0,54.3,378.26,2.999502844832348
MX-2014-113845,TEC-PH-10001076,2120.5,5,0.0,106.0,377.7,4.998821032775289
IN-2014-61932,TEC-PH-10001457,1275.0,2,0.0,140.22,377.58,10.997647058823528
ES-2012-4589770,TEC-MA-10004534,1593.648,7,0.15,-225.162,377.03,-14.128716002530044
ES-2014-1331794,FUR-BO-10003991,1114.236,3,0.1,383.706,376.88,34.43669025233434
ES-2012-4621754,TEC-PH-10002623,2944.08,5,0.1,1112.13,376.58,37.77512839325019
ID-2014-41191,OFF-AP-10002793,3309.2598,7,0.17,318.8598,374.8,9.635381301885094
MX-2014-128405,FUR-CH-10002093,897.48,9,0.0,322.92,374.38,35.98074608904934
ES-2011-1858721,FUR-BO-10003103,2056.05,5,0.0,390.6,372.5,18.997592471000218
MX-2012-168865,TEC-CO-10001818,2365.6592,10,0.002,18.8592,372.32,0.7972069687806258
IN-2011-52279,TEC-CO-10002040,1336.356,7,0.4,44.436,371.74,3.325161858067761
IN-2012-14724,TEC-CO-10001654,3038.64,8,0.0,1245.84,371.51,40.99992101729721
ES-2013-3042991,OFF-AP-10002397,2698.65,9,0.0,890.46,369.98,32.99649824912456
LT-2013-3900,TEC-CAN-10001853,3799.08,12,0.0,455.76,369.73,11.996588647777882
IN-2012-18518,FUR-CH-10001207,2756.34,6,0.0,413.28,369.4,14.993796120942987
IT-2012-4058325,TEC-PH-10002597,983.88,8,0.1,-11.16,369.17,-1.1342846688620563
IN-2012-42220,FUR-CH-10003232,1719.807,5,0.27,117.657,368.44,6.841290912294228
IN-2014-17972,OFF-AP-10003917,1421.541,3,0.17,428.121,367.57,30.116683233195523
MX-2014-151554,TEC-CO-10002617,1053.6884,5,0.002,441.2884,367.55,41.88035096523792
IT-2011-3270900,TEC-CO-10000556,1440.84,8,0.5,-1268.04,367.35,-88.00699591904723
IN-2011-28087,FUR-CH-10003232,2544.372,6,0.1,621.792,366.89,24.43793596219421
CA-2012-123113,OFF-AP-10000275,2625.12,8,0.0,735.0336,366.72,28.000000000000004
RO-2012-9480,TEC-HEW-10003460,1554.48,8,0.0,341.76,366.58,21.98548710822912
MX-2013-109981,TEC-PH-10004196,1278.0,3,0.0,89.46,365.9,6.999999999999999
MX-2012-130351,TEC-PH-10002672,3474.08,8,0.0,625.28,365.65,17.998434117809605
MX-2012-135076,TEC-PH-10000106,2550.0,6,0.0,357.0,365.2,14.000000000000002
CA-2013-114972,OFF-AP-10003057,1101.48,4,0.0,429.5772,364.76,39.0
CA-2013-146633,OFF-BI-10003527,1016.792,1,0.2,381.297,363.87,37.5
CA-2013-110499,TEC-CO-10002095,1199.976,3,0.2,374.9925,363.78,31.25
TU-2012-2690,TEC-SAM-10000345,934.248,14,0.6,-1331.652,363.73,-142.53731343283582
CA-2014-166709,TEC-CO-10004722,10499.97,3,0.0,5039.9856,363.19,48.00000000000001
SG-2014-9460,TEC-CIS-10002259,3908.88,6,0.0,1563.48,363.16,39.99815804015473
MX-2014-164217,TEC-PH-10004182,2142.3,5,0.0,556.9,363.1,25.995425477290755
ID-2014-80657,OFF-AP-10004350,1900.584,6,0.4,-348.516,360.04,-18.337311058074782
